id,source_id
29969,sjr_12872
29971,sjr_23366
29976,sjr_23478
29978,sjr_16751
29980,sjr_15549
29981,sjr_16812
29985,sjr_21100406908
29986,sjr_21461
29987,sjr_25323
29988,sjr_21101030810
29989,sjr_21100428207
29990,sjr_18408
29991,sjr_21100897795
29992,sjr_19700188391
29994,sjr_12057
29996,sjr_16440
29997,sjr_24782
29999,sjr_21767
30001,sjr_21100829907
30002,sjr_12461
30005,sjr_21100907393
30006,sjr_22267
30007,sjr_21100859815
30008,sjr_21100978391
30009,sjr_26786
30013,sjr_19700182917
30016,sjr_20440
30017,sjr_17408
30019,sjr_29187
30022,sjr_21100870831
30023,sjr_21100203714
30024,sjr_19400158804
30029,sjr_21100316063
30032,sjr_21101041869
30033,sjr_35824
30035,sjr_20500195056
30037,sjr_19900191715
30038,sjr_21100414802
30039,sjr_23985
30040,sjr_13345
30043,sjr_25678
30049,sjr_12700
30055,sjr_19700175160
30057,sjr_21100893578
30059,sjr_12100156754
30060,sjr_17058
30065,sjr_29309
30067,sjr_24790
30068,sjr_145746
30069,sjr_21100897791
30070,sjr_21100936579
30071,sjr_21722
30072,sjr_23826
30073,sjr_14989
30076,sjr_20552
30078,sjr_25290
30080,sjr_21100896357
30081,sjr_22104
30084,sjr_26082
30086,sjr_25334
30087,sjr_17843
30090,sjr_21100207639
30091,sjr_14283
30093,sjr_15931
30094,sjr_21100468501
30095,sjr_19700201524
30096,sjr_4000148904
30100,sjr_5700165201
30101,sjr_19700175113
30102,sjr_21100901769
30104,sjr_15877
30106,sjr_21376
30109,sjr_21100899528
30111,sjr_24309
30112,sjr_19200157106
30116,sjr_12604
30117,sjr_12773
30118,sjr_24024
30119,sjr_19900193739
30120,sjr_19209
30121,sjr_19400157151
30122,sjr_21101019267
30124,sjr_14676
30125,sjr_20648
30126,sjr_19393
30127,sjr_21100861038
30128,sjr_20106
30130,sjr_21100981214
30134,sjr_22504
30137,sjr_14117
30138,sjr_24807
30141,sjr_21100819608
30142,sjr_21100202148
30144,sjr_70201
30146,sjr_29775
30147,sjr_22609
30149,sjr_19816
30150,sjr_4100151514
30151,sjr_17620
30153,sjr_40751
30156,sjr_21101018849
30158,sjr_16685
30163,sjr_24674
30164,sjr_20086
30165,sjr_16855
30166,sjr_21466
30169,sjr_23306
30170,sjr_12675
30172,sjr_21101044934
30174,sjr_21101030210
30175,sjr_23116
30176,sjr_21100464956
30177,sjr_21100979312
30178,sjr_23326
30179,sjr_21100237607
30180,sjr_19700176047
30181,sjr_29576
30182,sjr_21100222556
30184,sjr_12825
30186,sjr_4000148311
30187,sjr_13120
30190,sjr_12807
30191,sjr_15185
30193,sjr_19200156952
30195,sjr_3100147501
30197,sjr_5100155080
30199,sjr_19900195063
30202,sjr_20021
30203,sjr_4700152489
30204,sjr_12159
30207,sjr_15106
30209,sjr_28302
30210,sjr_21101059781
30212,sjr_12100154911
30215,sjr_22350
30216,sjr_21100779233
30217,sjr_21100469363
30219,sjr_12495
30220,sjr_25337
30221,sjr_26906
30224,sjr_20238
30225,sjr_21100788713
30227,sjr_19600162144
30228,sjr_17300154924
30229,sjr_29102
30231,sjr_18403
30233,sjr_21101077293
30234,sjr_21100943536
30235,sjr_24140
30236,sjr_28766
30238,sjr_15576
30240,sjr_4000148310
30242,sjr_19400157120
30243,sjr_19723
30245,sjr_19489
30248,sjr_12697
30249,sjr_88586
30250,sjr_21100378340
30253,sjr_16900154701
30255,sjr_24868
30258,sjr_21101021192
30261,sjr_145301
30264,sjr_25414
30267,sjr_21100370190
30269,sjr_21100469641
30272,sjr_12344
30275,sjr_12332
30276,sjr_19355
30277,sjr_21100469613
30278,sjr_20343
30279,sjr_19871
30284,sjr_16484
30285,sjr_27473
30287,sjr_21100286975
30289,sjr_16088
30292,sjr_130036
30293,sjr_23019
30294,sjr_21101085507
30295,sjr_21100826277
30298,sjr_14035
30299,sjr_19615
30300,sjr_4400151701
30302,sjr_20814
30303,sjr_21100884825
30304,sjr_18965
30305,sjr_11700154648
30306,sjr_22377
30307,sjr_9500153964
30310,sjr_20823
30314,sjr_21101030407
30316,sjr_19900192710
30317,sjr_10100153313
30318,sjr_21100906935
30319,sjr_22370
30320,sjr_21100218506
30322,sjr_22452
30323,sjr_22427
30325,sjr_110175
30330,sjr_19046
30332,sjr_20184
30333,sjr_23607
30335,sjr_14277
30339,sjr_14152
30340,sjr_21101044921
30342,sjr_12770
30343,sjr_11700154618
30345,sjr_23460
30346,sjr_19790
30347,sjr_21196
30349,sjr_110112
30351,sjr_19500156812
30352,sjr_20292
30353,sjr_78796
30354,sjr_19873
30357,sjr_12229
30358,sjr_21100222534
30360,sjr_21100854907
30361,sjr_17790
30362,sjr_21100782431
30366,sjr_20153
30367,sjr_19400158558
30368,sjr_5700191205
30369,sjr_23393
30371,sjr_21100857212
30372,sjr_19683
30373,sjr_21100944558
30374,sjr_18745
30376,sjr_21100225608
30378,sjr_21165
30379,sjr_18712
30380,sjr_13121
30381,sjr_19662
30383,sjr_21100875801
30387,sjr_25465
30392,sjr_15048
30393,sjr_12100157156
30394,sjr_21100984155
30395,sjr_29127
30398,sjr_23310
30401,sjr_21100923302
30402,sjr_21245
30403,sjr_25152
30405,sjr_22418
30407,sjr_11700154316
30409,sjr_15598
30411,sjr_19400158590
30412,sjr_29640
30413,sjr_22806
30415,sjr_17225
30416,sjr_19602
30419,sjr_21101048538
30422,sjr_73771
30423,sjr_22483
30427,sjr_19400157205
30428,sjr_19700182013
30430,sjr_15452
30431,sjr_21219
30434,sjr_19278
30435,sjr_29264
30436,sjr_29269
30437,sjr_17837
30438,sjr_19019
30439,sjr_5300152227
30440,sjr_21100817417
30443,sjr_19134
30444,sjr_21101041403
30445,sjr_13900154714
30446,sjr_5400152645
30447,sjr_21100401153
30448,sjr_13453
30449,sjr_28620
30451,sjr_28081
30452,sjr_21100820782
30453,sjr_21843
30455,sjr_130023
30456,sjr_15987
30458,sjr_22139
30460,sjr_29451
30461,sjr_23180
30464,sjr_21100203121
30469,sjr_16153
30473,sjr_14129
30475,sjr_15546
30477,sjr_30073
30479,sjr_13174
30482,sjr_29710
30483,sjr_21337
30485,sjr_22170
30486,sjr_12107
30488,sjr_20897
30492,sjr_14033
