page_id,id,page_type,url,error_alt_area_missing,error_alt_input_missing,error_alt_link_missing,error_alt_map_missing,error_alt_missing,error_alt_spacer_missing,error_aria_menu_broken,error_aria_reference_broken,error_blink,error_button_empty,error_heading_empty,error_label_empty,error_label_missing,error_label_multiple,error_language_missing,error_link_empty,error_link_skip_broken,error_marquee,error_meta_refresh,error_th_empty,error_title_invalid
5_latest_issue,5,latest_issue,https://www.nejm.org/toc/nejm/medical-journal?query=main_nav_lg,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
4_home,4,home,https://www.cell.com/,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
4_research_article,4,research_article,https://www.cell.com/cell/fulltext/S0092-8674(23)01079-6,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
4_none_research_article,4,none_research_article,https://www.cell.com/patterns/fulltext/S2666-3899(21)00235-X,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
4_article_search_result,4,article_search_result,https://www.cell.com/action/doSearch?type=quicksearch&text1=data&field1=AllField,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
4_latest_issue,4,latest_issue,https://www.cell.com/cell/current,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
31_home,31,home,https://www.thelancet.com/,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
31_research_article,31,research_article,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(23)01796-8/fulltext,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
31_none_research_article,31,none_research_article,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(23)00428-X/fulltext,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
31_article_search_result,31,article_search_result,https://www.thelancet.com/action/doSearch?type=quicksearch&text1=data&field1=AllField&journalCode=lancet&SeriesKey=lancet,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
