id,source_id
1337,dc_6371
1338,dc_80
1339,dc_973
1340,dc_1554
1341,dc_474
1342,dc_5516
1343,dc_5316
1344,dc_5406
1345,dc_1495
1346,dc_4997
1347,dc_6379
1348,dc_785
1349,dc_439
1350,dc_1735
1351,dc_3512
1352,dc_3526
1353,dc_3098
1354,dc_3726
1355,dc_1651
1356,dc_113
1357,dc_1403
1358,dc_3039
1359,dc_4527
1360,dc_356
1361,dc_386
1362,dc_265
1363,dc_5147
1364,dc_7101
1365,dc_392
1366,dc_1367
1367,dc_3466
1368,dc_1298
1369,dc_7780
1370,dc_7795
1371,dc_7802
1372,dc_7807
1373,dc_7890
1374,dc_7436
1375,dc_8229
1376,dc_7257
1377,dc_7320
1378,dc_7636
1379,dc_7637
1380,dc_7401
1381,dc_7046
1382,dc_6822
1383,dc_6194
1384,dc_6212
1385,dc_6571
1386,dc_6381
1387,dc_6559
1388,dc_6600
1389,dc_6604
1390,dc_1817
1391,dc_1880
1392,dc_6961
1393,dc_3670
1394,dc_7518
1395,dc_7869
1396,dc_4054
1397,dc_3558
1398,dc_5224
1399,dc_5084
1400,dc_362
1401,dc_371
1402,dc_773
1403,dc_4405
1404,dc_583
1405,dc_3385
1406,dc_1127
1407,dc_5513
1408,dc_5425
1409,dc_5487
1410,dc_1338
1411,dc_3265
1412,dc_3905
1413,dc_4974
1414,dc_1016
1415,dc_665
1416,dc_4171
1417,dc_4618
1418,dc_385
1419,dc_935
1420,dc_4404
1421,dc_4815
1422,dc_214
1423,dc_5994
1424,dc_1261
1425,dc_1457
1426,dc_68
1427,dc_5217
1428,dc_1492
1429,dc_6272
1430,dc_2022
1431,dc_212
1432,dc_4290
1433,dc_1062
1434,dc_1159
1435,dc_5361
1436,dc_5176
1437,dc_577
1438,dc_5421
1439,dc_6680
1440,dc_6804
1441,dc_3490
1442,dc_5649
1443,dc_1153
1444,dc_5096
1445,dc_4634
1446,dc_4687
1447,dc_5820
1448,dc_4984
1449,dc_1750
1450,dc_397
1451,dc_3176
1452,dc_7071
1453,dc_6332
1454,dc_7363
