page_id,is_success,count,category_count,error_count,alert_count,contrast_count,error_label_missing,error_language_missing,error_button_empty,alert_alt_suspicious,alert_h1_missing,alert_link_redundant,alert_link_pdf,alert_text_small,contrast_contrast,alert_select_missing_label,alert_region_missing,error_alt_missing,error_link_empty,error_aria_menu_broken,alert_alt_duplicate,alert_label_orphaned,alert_heading_skipped,alert_link_suspicious,alert_event_handler,alert_text_justified,alert_heading_missing,alert_link_internal_broken,error_alt_link_missing,alert_youtube_video,alert_title_redundant,error_th_empty,alert_noscript,alert_image_title,alert_label_title,alert_accesskey,alert_table_layout,error_heading_empty,alert_alt_redundant,alert_legend_missing,alert_tabindex,alert_heading_possible,alert_underline,error_link_skip_broken,alert_fieldset_missing,alert_plugin,alert_alt_long,alert_javascript_jumpmenu,error_alt_spacer_missing,error_title_invalid,error_aria_reference_broken,alert_table_caption_possible,alert_link_powerpoint,alert_link_excel,alert_audio_video,alert_list_possible,error_label_multiple,error_meta_refresh,error_alt_area_missing,alert_flash,error_alt_map_missing,error_label_empty,alert_html5_video_audio,error_alt_input_missing,alert_link_word,alert_longdesc,error_marquee,error_blink,alert_applet
79_home,True,12,5,3,3,6,3.0,,,,,,,,6.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80_home,True,48,9,3,5,40,1.0,1.0,,,,1.0,,,40.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81_home,True,78,9,16,44,18,,1.0,,,1.0,3.0,1.0,,18.0,,,2.0,,,,,,7.0,,32.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82_home,True,200,17,71,100,29,1.0,,,1.0,1.0,68.0,3.0,,29.0,,,12.0,11.0,,,1.0,11.0,1.0,,,,7.0,44.0,,,,,,,,5.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83_home,True,11,7,0,8,3,,,,,,2.0,1.0,,3.0,,,,,,,,1.0,,,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84_home,True,8,5,2,2,4,1.0,,,,1.0,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
86_home,True,21,9,5,16,0,2.0,,2.0,,,5.0,,,,,,,1.0,,,,1.0,,,,,,,,4.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
87_home,True,199,18,35,161,3,26.0,,,,,,,14.0,3.0,29.0,,1.0,,,,,,1.0,,,,14.0,,3.0,,,1.0,,1.0,1.0,30.0,8.0,,,8.0,2.0,,,1.0,,,25.0,,,,,,,31.0,,,,,,,,,,,,,,
88_home,True,9,3,0,9,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89_home,True,5,4,0,4,1,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90_home,True,60,11,3,57,0,2.0,1.0,,,,2.0,,5.0,,2.0,1.0,,,,,,,,,1.0,1.0,,,,40.0,,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
91_home,True,109,11,9,20,80,,1.0,,,,3.0,1.0,,80.0,,1.0,2.0,,,,,,2.0,,12.0,,,5.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93_home,True,68,13,23,29,16,12.0,,2.0,,,3.0,,,16.0,,,,1.0,,,2.0,13.0,1.0,,3.0,,,,,1.0,,4.0,,,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94_home,True,55,9,4,46,5,2.0,1.0,,,1.0,,,,5.0,,,1.0,,,,2.0,,36.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
95_home,True,163,18,117,26,20,17.0,,2.0,,1.0,2.0,1.0,1.0,20.0,2.0,,61.0,19.0,6.0,,6.0,,3.0,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,2.0,,,12.0,,,,,,,,,,,,
96_home,True,29,9,22,6,1,,,,,,1.0,3.0,,1.0,,,2.0,7.0,,,,,,,,,,10.0,,,,,,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
97_home,True,20,8,5,11,4,,1.0,,,,1.0,,,4.0,,1.0,4.0,,,,,,,,1.0,1.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98_home,True,21,7,12,9,0,1.0,1.0,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,2.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,
99_home,True,7,5,1,6,0,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_home,True,7,6,1,5,1,1.0,,,,,2.0,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_home,True,21,7,3,6,12,,1.0,,,,1.0,,1.0,12.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103_home,True,44,7,4,8,32,,,1.0,,,,,,32.0,,,,3.0,,,,1.0,1.0,,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
104_home,True,18,8,4,12,2,,1.0,,,,,,1.0,2.0,,1.0,2.0,,,,,,,,,1.0,,,,,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105_home,True,17,10,6,6,5,2.0,1.0,,,,1.0,,,5.0,,,1.0,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106_home,True,95,15,24,71,0,1.0,1.0,,,,3.0,3.0,10.0,,1.0,1.0,15.0,,,,,,7.0,39.0,,1.0,,7.0,,,,,,,,4.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
107_home,True,3,3,1,2,0,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108_home,True,10,5,2,2,6,1.0,,,,1.0,1.0,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109_home,True,52,8,0,21,31,,,,,,7.0,,3.0,31.0,,,,,,,,,,,,,,,1.0,2.0,,,,2.0,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110_home,True,30,8,10,5,15,3.0,,1.0,,,,,,15.0,1.0,,,6.0,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111_home,True,64,8,14,19,31,1.0,1.0,,,,13.0,,,31.0,,1.0,,,,,,,,,,1.0,,12.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
