category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap17,collections,aria-valid-attr,0,5,5,0
hubmap,hubmap17,collections,avoid-inline-spacing,0,1,1,0
hubmap,hubmap17,collections,button-name,0,4,4,0
hubmap,hubmap17,collections,bypass,0,1,1,0
hubmap,hubmap17,collections,color-contrast,0,36,36,0
hubmap,hubmap17,collections,document-title,0,1,1,0
hubmap,hubmap17,collections,empty-heading,0,6,6,0
hubmap,hubmap17,collections,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap17,collections,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap17,collections,landmark-unique,0,1,1,0
hubmap,hubmap17,collections,link-name,0,32,32,0
hubmap,hubmap17,collections,meta-viewport-large,0,1,1,0
hubmap,hubmap17,collections,meta-viewport,0,1,1,0
hubmap,hubmap17,collections,nested-interactive,0,4,4,0
hubmap,hubmap17,collections,page-has-heading-one,0,1,1,0
hubmap,hubmap17,collections,scrollable-region-focusable,0,1,1,0
hubmap,hubmap17,collections,tabindex,0,4,4,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap18,collection,heading-order,2,13,15,0.13333333333333333
hubmap,hubmap18,collection,html-has-lang,1,0,1,1
hubmap,hubmap18,collection,landmark-one-main,1,0,1,1
hubmap,hubmap18,collection,region,73,1841,1914,0.03814002089864159
hubmap,hubmap18,collection,aria-allowed-attr,0,5,5,0
hubmap,hubmap18,collection,aria-conditional-attr,0,5,5,0
hubmap,hubmap18,collection,aria-hidden-body,0,1,1,0
hubmap,hubmap18,collection,aria-hidden-focus,0,31,31,0
hubmap,hubmap18,collection,aria-prohibited-attr,0,5,5,0
hubmap,hubmap18,collection,aria-valid-attr-value,0,5,5,0
hubmap,hubmap18,collection,aria-valid-attr,0,5,5,0
hubmap,hubmap18,collection,avoid-inline-spacing,0,1,1,0
hubmap,hubmap18,collection,button-name,0,4,4,0
hubmap,hubmap18,collection,bypass,0,1,1,0
hubmap,hubmap18,collection,color-contrast,0,99,99,0
hubmap,hubmap18,collection,document-title,0,1,1,0
hubmap,hubmap18,collection,empty-heading,0,15,15,0
hubmap,hubmap18,collection,empty-table-header,0,12,12,0
hubmap,hubmap18,collection,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap18,collection,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap18,collection,landmark-unique,0,1,1,0
hubmap,hubmap18,collection,link-name,0,244,244,0
hubmap,hubmap18,collection,meta-viewport-large,0,1,1,0
hubmap,hubmap18,collection,meta-viewport,0,1,1,0
hubmap,hubmap18,collection,nested-interactive,0,4,4,0
hubmap,hubmap18,collection,page-has-heading-one,0,1,1,0
hubmap,hubmap18,collection,scope-attr-valid,0,12,12,0
hubmap,hubmap18,collection,scrollable-region-focusable,0,2,2,0
hubmap,hubmap18,collection,tabindex,0,5,5,0
hubmap,hubmap18,collection,table-duplicate-name,0,3,3,0
hubmap,hubmap18,collection,td-headers-attr,0,3,3,0
hubmap,hubmap18,collection,th-has-data-cells,0,3,3,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap19,publications,heading-order,1,5,6,0.16666666666666666
hubmap,hubmap19,publications,html-has-lang,1,0,1,1
hubmap,hubmap19,publications,landmark-one-main,1,0,1,1
hubmap,hubmap19,publications,region,20,91,111,0.18018018018018017
hubmap,hubmap19,publications,aria-allowed-attr,0,10,10,0
hubmap,hubmap19,publications,aria-allowed-role,0,5,5,0
hubmap,hubmap19,publications,aria-conditional-attr,0,10,10,0
hubmap,hubmap19,publications,aria-deprecated-role,0,5,5,0
hubmap,hubmap19,publications,aria-hidden-body,0,1,1,0
hubmap,hubmap19,publications,aria-hidden-focus,0,9,9,0
hubmap,hubmap19,publications,aria-prohibited-attr,0,10,10,0
hubmap,hubmap19,publications,aria-required-attr,0,5,5,0
hubmap,hubmap19,publications,aria-required-children,0,1,1,0
hubmap,hubmap19,publications,aria-required-parent,0,2,2,0
hubmap,hubmap19,publications,aria-roles,0,5,5,0
